CustomerID,CustomerName,ContactName,Address,City,PostalCode,Country,BirthDate
1 ,Alfreds Futterkiste ,Maria Anders ,Obere Str. 57 ,Berlin ,12209 ,Germany ,5/7/1927
2 ,Ana Trujillo Emparedados y helados ,Ana Trujillo ,Avda. de la Constitución 2222 ,México D.F. ,05021 ,Mexico ,5/8/1947
3 ,Antonio Moreno Taquería ,Antonio Moreno ,Mataderos 2312 ,México D.F. ,05023 ,Mexico ,5/9/1967
4 ,Around the Horn ,Thomas Hardy ,120 Hanover Sq. ,London ,WA1 1DP ,UK ,5/10/1943
5 ,Berglunds snabbköp ,Christina Berglund ,Berguvsvägen 8 ,Luleå ,S-958 22 ,Sweden ,5/11/1933
6 ,Blauer See Delikatessen ,Hanna Moos ,Forsterstr. 57 ,Mannheim ,68306 ,Germany ,5/12/1955
7 ,Blondel père et fils ,Frédérique Citeaux ,"24, place Kléber ",Strasbourg ,67000 ,France ,5/13/1967
8 ,Bólido Comidas preparadas ,Martín Sommer ,"C/ Araquil, 67 ",Madrid ,28023 ,Spain ,5/14/1977
9 ,"Bon app' ",Laurence Lebihans ,"12, rue des Bouchers ",Marseille ,13008 ,France ,5/15/1934
10 ,Bottom-Dollar Marketse ,Elizabeth Lincoln ,23 Tsawassen Blvd. ,Tsawassen ,T2F 8M4 ,Canada ,5/16/1954
11 ,"B's Beverages ",Victoria Ashworth ,Fauntleroy Circus ,London ,EC2 5NT ,UK ,5/17/1935
12 ,Cactus Comidas para llevar ,Patricio Simpson ,Cerrito 333 ,Buenos Aires ,1010 ,Argentina ,5/18/1967
13 ,Centro comercial Moctezuma ,Francisco Chang ,Sierras de Granada 9993 ,México D.F. ,05022 ,Mexico ,5/19/1975
14 ,Chop-suey Chinese ,Yang Wang ,Hauptstr. 29 ,Bern ,3012 ,Switzerland ,5/20/1965
15 ,Comércio Mineiro ,Pedro Afonso ,"Av. dos Lusíadas, 23 ",São Paulo ,05432-043 ,Brazil ,5/21/1964
16 ,Consolidated Holdings ,Elizabeth Brown ,Berkeley Gardens 12 Brewery  ,London ,WX1 6LT ,UK ,5/22/1953
17 ,Drachenblut Delikatessend ,Sven Ottlieb ,Walserweg 21 ,Aachen ,52066 ,Germany ,5/23/1944
18 ,Du monde entier ,Janine Labrune ,"67, rue des Cinquante Otages ",Nantes ,44000 ,France ,5/24/1965
19 ,Eastern Connection ,Ann Devon ,35 King George ,London ,WX3 6FW ,UK ,5/25/1968
20 ,Ernst Handel ,Roland Mendel ,Kirchgasse 6 ,Graz ,8010 ,Austria ,5/26/1965
21 ,Familia Arquibaldo ,Aria Cruz ,"Rua Orós, 92 ",São Paulo ,05442-030 ,Brazil ,5/27/1953
22 ,FISSA Fabrica Inter. Salchichas S.A. ,Diego Roel ,"C/ Moralzarzal, 86 ",Madrid ,28034 ,Spain ,5/28/1952
23 ,Folies gourmandes ,Martine Rancé ,"184, chaussée de Tournai ",Lille ,59000 ,France ,5/29/1964
24 ,Folk och fä HB ,Maria Larsson ,Åkergatan 24 ,Bräcke ,S-844 67 ,Sweden ,5/30/1962
25 ,Frankenversand ,Peter Franken ,Berliner Platz 43 ,München ,80805 ,Germany ,5/31/1963
26 ,France restauration ,Carine Schmitt ,"54, rue Royale ",Nantes ,44000 ,France ,6/1/1934
27 ,Franchi S.p.A. ,Paolo Accorti ,Via Monte Bianco 34 ,Torino ,10100 ,Italy ,6/2/1944
28 ,Furia Bacalhau e Frutos do Mar ,Lino Rodriguez  ,Jardim das rosas n. 32 ,Lisboa ,1675 ,Portugal ,6/3/1948
29 ,Galería del gastrónomo ,Eduardo Saavedra ,"Rambla de Cataluña, 23 ",Barcelona ,08022 ,Spain ,6/4/1953
